station_id yyyymmddhh TX01 PP01
C0A520 2025073001 28.9 0.0
C0A520 2025073002 29.0 0.0
C0A520 2025073003 28.0 0.0
C0A520 2025073004 27.4 0.0
C0A520 2025073005 27.2 0.0
C0A520 2025073006 27.7 0.0
C0A520 2025073007 29.9 0.0
C0A520 2025073008 30.5 0.0
C0A520 2025073009 31.2 0.0
C0A520 2025073010 33.4 0.0
C0A520 2025073011 34.0 0.0
C0A520 2025073012 35.4 0.0
C0A520 2025073013 35.3 0.0
C0A520 2025073014 34.8 0.0
C0A520 2025073015 35.3 0.0
C0A520 2025073016 35.3 0.0
C0A520 2025073017 34.8 0.0
C0A520 2025073018 33.0 0.0
C0A520 2025073019 31.9 0.0
C0A520 2025073020 31.4 0.0
C0A520 2025073021 30.3 0.0
C0A520 2025073022 30.2 0.0
C0A520 2025073023 30.5 0.0
C0A520 2025073024 30.1 0.0
C0A530 2025073001 24.9 0.0
C0A530 2025073002 24.7 0.0
C0A530 2025073003 22.9 0.0
C0A530 2025073004 23.6 0.0
C0A530 2025073005 24.1 0.0
C0A530 2025073006 24.5 0.0
C0A530 2025073007 25.4 0.0
C0A530 2025073008 28.0 0.0
C0A530 2025073009 30.6 0.0
C0A530 2025073010 32.1 0.0
C0A530 2025073011 34.1 0.0
C0A530 2025073012 35.4 0.0
C0A530 2025073013 32.0 0.0
C0A530 2025073014 32.8 0.0
C0A530 2025073015 34.2 0.0
C0A530 2025073016 31.0 0.0
C0A530 2025073017 30.2 0.0
C0A530 2025073018 30.0 0.0
C0A530 2025073019 28.7 0.0
C0A530 2025073020 27.5 0.0
C0A530 2025073021 27.2 0.0
C0A530 2025073022 26.9 0.0
C0A530 2025073023 27.0 0.0
C0A530 2025073024 26.8 0.0
C0A550 2025073001 23.1 0.0
C0A550 2025073002 22.8 0.0
C0A550 2025073003 22.4 0.0
C0A550 2025073004 22.2 0.0
C0A550 2025073005 22.0 0.0
C0A550 2025073006 22.3 0.0
C0A550 2025073007 23.1 0.0
C0A550 2025073008 25.0 0.0
C0A550 2025073009 30.8 0.0
C0A550 2025073010 31.1 0.0
C0A550 2025073011 32.1 0.0
C0A550 2025073012 32.4 0.0
C0A550 2025073013 32.4 0.0
C0A550 2025073014 NaN 0.0
C0A550 2025073015 32.1 0.0
C0A550 2025073016 30.5 0.0
C0A550 2025073017 30.0 0.0
C0A550 2025073018 28.6 0.0
C0A550 2025073019 26.8 0.0
C0A550 2025073020 25.6 0.0
C0A550 2025073021 25.4 NaN
C0A550 2025073022 25.1 0.0
C0A550 2025073023 25.1 0.0
C0A550 2025073024 24.7 0.0
C0A570 2025073001 22.8 0.0
C0A570 2025073002 22.9 0.0
C0A570 2025073003 22.3 0.0
C0A570 2025073004 22.2 0.0
C0A570 2025073005 22.2 0.0
C0A570 2025073006 22.3 0.0
C0A570 2025073007 24.5 0.0
C0A570 2025073008 25.9 0.0
C0A570 2025073009 28.7 0.0
C0A570 2025073010 30.0 0.0
C0A570 2025073011 32.2 0.0
C0A570 2025073012 33.0 0.0
C0A570 2025073013 31.0 0.0
C0A570 2025073014 31.6 0.0
C0A570 2025073015 32.8 0.0
C0A570 2025073016 31.0 0.0
C0A570 2025073017 30.1 0.0
C0A570 2025073018 30.2 0.0
C0A570 2025073019 27.9 0.0
C0A570 2025073020 26.5 0.0
C0A570 2025073021 25.1 0.0
C0A570 2025073022 24.8 0.0
C0A570 2025073023 24.6 0.0
C0A570 2025073024 24.3 0.0
C0A640 2025073001 25.4 0.0
C0A640 2025073002 25.0 0.0
C0A640 2025073003 24.8 NaN
C0A640 2025073004 24.6 NaN
C0A640 2025073005 24.4 0.0
C0A640 2025073006 24.5 0.0
C0A640 2025073007 25.6 0.0
C0A640 2025073008 27.8 0.0
C0A640 2025073009 NaN 0.0
C0A640 2025073010 30.5 NaN
C0A640 2025073011 31.3 0.0
C0A640 2025073012 33.0 0.0
C0A640 2025073013 32.9 0.0
C0A640 2025073014 34.4 0.0
C0A640 2025073015 32.8 0.0
C0A640 2025073016 32.2 0.0
C0A640 2025073017 31.3 0.0
C0A640 2025073018 30.5 0.0
C0A640 2025073019 28.7 0.0
C0A640 2025073020 27.6 0.0
C0A640 2025073021 27.4 0.0
C0A640 2025073022 26.8 0.0
C0A640 2025073023 26.8 NaN
C0A640 2025073024 26.7 NaN
C0A770 2025073001 28.1 0.0
C0A770 2025073002 28.3 0.0
C0A770 2025073003 28.2 0.0
C0A770 2025073004 27.5 0.0
C0A770 2025073005 28.0 0.0
C0A770 2025073006 27.3 0.0
C0A770 2025073007 30.4 0.0
C0A770 2025073008 31.4 0.0
C0A770 2025073009 32.7 0.0
C0A770 2025073010 33.1 0.0
C0A770 2025073011 34.9 0.0
C0A770 2025073012 35.3 0.0
C0A770 2025073013 33.9 0.0
C0A770 2025073014 34.0 0.0
C0A770 2025073015 34.6 0.0
C0A770 2025073016 35.3 0.0
C0A770 2025073017 34.6 0.0
C0A770 2025073018 34.0 0.0
C0A770 2025073019 32.8 0.0
C0A770 2025073020 32.5 0.0
C0A770 2025073021 32.0 0.0
C0A770 2025073022 30.4 0.0
C0A770 2025073023 30.5 0.0
C0A770 2025073024 30.2 0.0
C0A860 2025073001 26.9 0.0
